,1,10
0,0.0,0.376519040075739
1,1.0,0.003804010005834302
2,0.0,0.03929123172489102
3,0.0,0.05364459293324497
4,1.0,4.141890297404416e-08
5,0.0,2.5757174171303632e-14
6,0.0,4.284523491548953e-08
7,0.0,0.4827312992000141
8,0.0,2.6787882578815925e-08
9,0.0,0.011427011420941158
10,0.0,0.12607473998419394
11,0.0,1.3116759456366367e-08
12,0.0,1.4654943925052066e-14
13,1.0,0.040761910489076625
14,0.0,0.17273950840208774
15,0.0,0.05954745757377955
16,0.0,0.15540966123027333
17,0.0,0.024060243641401247
18,0.0,0.18416650347941887
19,0.0,0.021961356472743443
20,0.0,0.16156195155007014
21,1.0,0.14633099006598638
22,1.0,0.18181818098581015
23,0.0,0.04456590895866697
24,0.0,0.08150880733513066
25,0.0,2.1183055309847987e-13
26,0.0,0.7718386360693588
27,0.0,0.545454549842951
28,0.0,6.553749765103589e-09
29,0.0,0.2873872332626073
30,0.0,0.1169960557189813
31,0.0,0.12227074219943779
32,0.0,0.026408593361210597
33,0.0,0.0
34,1.0,9.710307757870851e-08
35,0.0,0.07599970880445706
36,0.0,0.11319191249353011
37,0.0,0.40585397009938995
38,0.0,0.09503468609147481
39,1.0,0.06862615087232049
40,0.0,0.06862614660289457
41,0.0,1.4210854715202004e-14
42,0.0,0.11319205135754218
43,0.0,0.1856222033817292
44,0.0,2.383564785546355e-07
45,0.0,0.13725227295428732
46,0.0,1.7634318894010903e-08
47,0.0,0.6495679116473658
48,0.0,2.1142606332347214e-08
49,0.0,0.1947008698370385
